caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_util.py,1203,wrapper,~,0,<built-in method builtins.any>,109,0.000132352,0.000132352,0.000590536,0.001161738
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.callable>,233,0.00016305400000000001,0.00016305400000000001,0.00016305400000000001,0.00016305400000000001
attrsettr.py,43,__getattr__,~,0,<built-in method builtins.getattr>,4,8.343000000000001e-06,8.343000000000001e-06,2.013321395,2.013321395
fromnumeric.py,69,_wrapreduction,~,0,<built-in method builtins.getattr>,790517,1.5422314620000002,1.5422314620000002,2.013321395,2.013321395
addons.py,190,_convert,~,0,<built-in method builtins.getattr>,139,0.002828657,0.002828657,2.013321395,2.013321395
rdm.py,123,make_rdm12_spin1,~,0,<built-in method builtins.getattr>,15,1.9301e-05,1.9301e-05,2.013321395,2.013321395
rdm.py,91,make_rdm1_spin1,~,0,<built-in method builtins.getattr>,60,0.000112904,0.000112904,2.013321395,2.013321395
selected_ci.py,758,contract_2e,~,0,<built-in method builtins.getattr>,109,4.3657000000000006e-05,4.3657000000000006e-05,2.013321395,2.013321395
selected_ci.py,931,_as_SCIvector_if_not,~,0,<built-in method builtins.getattr>,45,4.2485000000000004e-05,4.2485000000000004e-05,2.013321395,2.013321395
selected_ci.py,893,_unpack,~,0,<built-in method builtins.getattr>,184,6.9783e-05,6.9783e-05,2.013321395,2.013321395
selected_ci.py,914,__array_finalize__,~,0,<built-in method builtins.getattr>,481,0.00045474400000000004,0.00045474400000000004,2.013321395,2.013321395
lapack.py,1025,_compute_lwork,~,0,<built-in method builtins.getattr>,218,0.00048882,0.00048882,2.013321395,2.013321395
_linalg.py,123,_makearray,~,0,<built-in method builtins.getattr>,15,1.3529e-05,1.3529e-05,2.013321395,2.013321395
fromnumeric.py,51,_wrapfunc,~,0,<built-in method builtins.getattr>,1573707,0.46700771,0.46700771,2.013321395,2.013321395
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.hasattr>,4,3.5560000000000003e-06,3.5560000000000003e-06,6.7471e-05,6.7471e-05
traitlets.py,740,_cross_validate,~,0,<built-in method builtins.hasattr>,1,1.8280000000000001e-06,1.8280000000000001e-06,6.7471e-05,6.7471e-05
_function_base_impl.py,249,flip,~,0,<built-in method builtins.hasattr>,4,2.325e-06,2.325e-06,6.7471e-05,6.7471e-05
misc.py,677,check_sanity,~,0,<built-in method builtins.hasattr>,60,5.8799000000000004e-05,5.8799000000000004e-05,6.7471e-05,6.7471e-05
traitlets.py,731,_validate,~,0,<built-in method builtins.hasattr>,1,9.630000000000001e-07,9.630000000000001e-07,6.7471e-05,6.7471e-05
typing.py,1285,__hash__,~,0,<built-in method builtins.hash>,4,1.9710000000000003e-06,1.9710000000000003e-06,1.9710000000000003e-06,1.9710000000000003e-06
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.isinstance>,4,9.22e-07,9.22e-07,0.670430788,0.6751743410000001
socket.py,709,send_multipart,~,0,<built-in method builtins.isinstance>,7,1.167e-06,1.167e-06,0.670430788,0.6751743410000001
session.py,687,serialize,~,0,<built-in method builtins.isinstance>,2,6.280000000000001e-07,6.280000000000001e-07,0.670430788,0.6751743410000001
session.py,751,send,~,0,<built-in method builtins.isinstance>,3,2.04e-06,2.04e-06,0.670430788,0.6751743410000001
jsonutil.py,108,json_default,~,0,<built-in method builtins.isinstance>,2,3.44e-07,3.44e-07,0.670430788,0.6751743410000001
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.isinstance>,30,1.8772000000000003e-05,1.8772000000000003e-05,0.670430788,0.6751743410000001
_decomp.py,284,eigh,~,0,<built-in method builtins.isinstance>,109,4.2096000000000005e-05,4.2096000000000005e-05,0.670430788,0.6751743410000001
direct_spin1.py,178,absorb_h1e,~,0,<built-in method builtins.isinstance>,15,5.404e-06,5.404e-06,0.670430788,0.6751743410000001
selected_ci.py,313,kernel_fixed_space,~,0,<built-in method builtins.isinstance>,15,4.1057000000000003e-05,4.1057000000000003e-05,0.670430788,0.6751743410000001
bit_array.py,67,__init__,~,0,<built-in method builtins.isinstance>,1,2.96e-07,2.96e-07,0.670430788,0.6751743410000001
addons.py,822,_unpack_nelec,~,0,<built-in method builtins.isinstance>,274,0.000329656,0.000329656,0.670430788,0.6751743410000001
addons.py,206,_stand_sym_code,~,0,<built-in method builtins.isinstance>,278,0.00021020900000000002,0.00021020900000000002,0.670430788,0.6751743410000001
direct_spin1.py,920,eig,~,0,<built-in method builtins.isinstance>,15,1.877e-05,1.877e-05,0.670430788,0.6751743410000001
_sparse.py,10,issparse,~,0,<built-in method builtins.isinstance>,109,0.002623074,0.0073321160000000005,0.670430788,0.6751743410000001
logger.py,219,new_logger,~,0,<built-in method builtins.isinstance>,30,2.6423e-05,2.6423e-05,0.670430788,0.6751743410000001
