caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_arraysetops_impl.py,144,unique,fromnumeric.py,3063,_prod_dispatcher,1,2.1100000000000002e-07,2.1100000000000002e-07,0.21739559,0.21739559
subsampling.py,147,subsample,fromnumeric.py,3063,_prod_dispatcher,12,7.537000000000001e-06,7.537000000000001e-06,0.21739559,0.21739559
configuration_recovery.py,181,_bipartite_bitstring_correcting,fromnumeric.py,3063,_prod_dispatcher,794516,0.21736201000000002,0.21736201000000002,0.21739559,0.21739559
~,0,<built-in method time.sleep>,einsumfunc.py,1049,_einsum_dispatcher,340,0.00041003800000000005,0.00041003800000000005,0.001149587,0.001149587
linalg_helper.py,1432,_outprod_to_subspace,einsumfunc.py,1049,_einsum_dispatcher,900,0.000533815,0.000533815,0.001149587,0.001149587
direct_spin1.py,178,absorb_h1e,einsumfunc.py,1049,_einsum_dispatcher,60,3.8903000000000003e-05,3.8903000000000003e-05,0.001149587,0.001149587
selected_ci.py,48,contract_2e,einsumfunc.py,1049,_einsum_dispatcher,20,2.5312e-05,2.5312e-05,0.001149587,0.001149587
selected_ci.py,289,make_hdiag,einsumfunc.py,1049,_einsum_dispatcher,120,5.3824000000000005e-05,5.3824000000000005e-05,0.001149587,0.001149587
fermion.py,476,solve_sci,einsumfunc.py,1049,_einsum_dispatcher,150,8.7695e-05,8.7695e-05,0.001149587,0.001149587
~,0,<built-in method builtins.any>,_stride_tricks_impl.py,354,<genexpr>,540,0.0004902190000000001,0.000502943,0.0004902190000000001,0.000502943
_function_base_impl.py,249,flip,_index_tricks_impl.py,778,__getitem__,4,2.5690000000000003e-06,2.5690000000000003e-06,2.5690000000000003e-06,2.5690000000000003e-06
_linalg.py,493,inv,_linalg.py,123,_makearray,15,8.42e-05,0.00011174600000000001,8.42e-05,0.00011174600000000001
~,0,<method 'view' of 'numpy.ndarray' objects>,_internal.py,537,_view_is_safe,2,1.1459e-05,1.1459e-05,1.1459e-05,1.1459e-05
_decomp.py,284,eigh,_type_check_impl.py,265,iscomplexobj,90,0.000260188,0.00031544600000000004,0.000260188,0.00031544600000000004
_decomp.py,284,eigh,_type_check_impl.py,168,_is_type_dispatcher,90,2.6002000000000003e-05,2.6002000000000003e-05,2.6002000000000003e-05,2.6002000000000003e-05
_stride_tricks_impl.py,349,_broadcast_to,_stride_tricks_impl.py,30,_maybe_view_as_subclass,180,0.000179939,0.000179939,0.000179939,0.000179939
selectors.py,451,select,_arraysetops_impl.py,327,reshape_uniq,1,1.1321e-05,6.5537e-05,1.1321e-05,6.5537e-05
_twodim_base_impl.py,968,<genexpr>,_stride_tricks_impl.py,376,broadcast_to,180,0.000401307,0.007170801,0.000401307,0.007170801
_util.py,410,_asarray_validated,_function_base_impl.py,584,asarray_chkfinite,90,0.003265514,0.005592218,0.003265514,0.005592218
_twodim_base_impl.py,371,tri,_twodim_base_impl.py,34,_min_int,180,0.0005060560000000001,0.0010815220000000001,0.0005060560000000001,0.0010815220000000001
_twodim_base_impl.py,968,<genexpr>,_stride_tricks_impl.py,372,_broadcast_to_dispatcher,180,4.7934000000000006e-05,4.7934000000000006e-05,4.7934000000000006e-05,4.7934000000000006e-05
linalg_helper.py,1409,_qr,_linalg.py,489,_unary_dispatcher,15,8.769e-06,8.769e-06,8.769e-06,8.769e-06
selectors.py,451,select,_arraysetops_impl.py,131,_unpack_tuple,1,1.043e-06,1.181e-06,0.766443835,1.202092571
_arraysetops_impl.py,144,unique,_arraysetops_impl.py,131,_unpack_tuple,1557949,0.7664427920000001,1.20209139,0.766443835,1.202092571
_linalg.py,148,_commonType,_linalg.py,128,isComplexType,15,1.0966000000000001e-05,1.586e-05,1.8346e-05,2.6852000000000003e-05
_linalg.py,493,inv,_linalg.py,128,isComplexType,15,7.3800000000000005e-06,1.0992e-05,1.8346e-05,2.6852000000000003e-05
_linalg.py,148,_commonType,_linalg.py,142,_realType,15,2.7758e-05,4.4813000000000006e-05,2.7758e-05,4.4813000000000006e-05
_linalg.py,493,inv,_linalg.py,192,_assert_stacked_2d,15,3.9314000000000003e-05,3.9314000000000003e-05,3.9314000000000003e-05,3.9314000000000003e-05
_linalg.py,493,inv,_linalg.py,198,_assert_stacked_square,15,2.9039e-05,2.9039e-05,2.9039e-05,2.9039e-05
_twodim_base_impl.py,888,tril_indices,numeric.py,1736,indices,90,0.001338502,0.002601667,0.001338502,0.002601667
~,0,<built-in method time.sleep>,fromnumeric.py,2255,sum,187,0.000423157,0.0023495350000000003,3.9514540030000003,18.613377292000003
subsampling.py,96,postselect_by_hamming_right_and_left,fromnumeric.py,2255,sum,3,2.2230000000000002e-05,0.008993133,3.9514540030000003,18.613377292000003
configuration_recovery.py,59,recover_configurations,fromnumeric.py,2255,sum,1,8.928e-06,0.000107566,3.9514540030000003,18.613377292000003
fermion.py,149,diagonalize_fermionic_hamiltonian,fromnumeric.py,2255,sum,10,6.278200000000001e-05,0.000564094,3.9514540030000003,18.613377292000003
configuration_recovery.py,181,_bipartite_bitstring_correcting,fromnumeric.py,2255,sum,2394424,3.9509369060000004,18.601362964,3.9514540030000003,18.613377292000003
numerictypes.py,470,issubdtype,numerictypes.py,288,issubclass_,1589240,1.2732975050000002,2.293071265,1.2732975050000002,2.293071265
linalg_helper.py,166,_fill_heff_hermitian,~,0,<method 'conj' of 'numpy.generic' objects>,273,0.004513537000000001,0.004513537000000001,0.004513537000000001,0.004513537000000001
_linalg.py,493,inv,~,0,<method '__array_wrap__' of 'numpy.ndarray' objects>,15,1.5186000000000002e-05,1.5186000000000002e-05,1.5186000000000002e-05,1.5186000000000002e-05
_function_base_impl.py,584,asarray_chkfinite,~,0,<method 'all' of 'numpy.ndarray' objects>,90,0.00037075400000000005,0.0021843070000000003,0.00037075400000000005,0.0021843070000000003
fromnumeric.py,51,_wrapfunc,~,0,<method 'argmax' of 'numpy.ndarray' objects>,165,0.000769853,0.000769853,0.000769853,0.000769853
fromnumeric.py,51,_wrapfunc,~,0,<method 'argpartition' of 'numpy.ndarray' objects>,15,0.013483579,0.013483579,0.013483579,0.013483579
_arraysetops_impl.py,342,_unique1d,~,0,<method 'argsort' of 'numpy.ndarray' objects>,1557907,3.6971605000000003,3.6971605000000003,3.7593619670000002,3.7593619670000002
