filename,lineno,func,prim_calls,total_calls,tottime,cumtime
_stride_tricks_impl.py,30,_maybe_view_as_subclass,218,218,0.000207357,0.000207357
_arraysetops_impl.py,327,reshape_uniq,1,1,1.3049000000000002e-05,7.554500000000001e-05
_stride_tricks_impl.py,376,broadcast_to,218,218,0.000539209,0.007855434
_function_base_impl.py,584,asarray_chkfinite,109,109,0.003910467,0.006616947000000001
_twodim_base_impl.py,34,_min_int,218,218,0.000567216,0.001177358
_stride_tricks_impl.py,372,_broadcast_to_dispatcher,218,218,5.7151e-05,5.7151e-05
_linalg.py,489,_unary_dispatcher,15,15,8.815000000000001e-06,8.815000000000001e-06
_arraysetops_impl.py,131,_unpack_tuple,1573491,1573491,0.8320759350000001,1.263446456
_linalg.py,128,isComplexType,30,30,1.8259000000000003e-05,2.6154e-05
_linalg.py,142,_realType,15,15,3.0892e-05,4.8888000000000004e-05
_linalg.py,192,_assert_stacked_2d,15,15,3.1668e-05,3.1668e-05
_linalg.py,198,_assert_stacked_square,15,15,2.7836000000000003e-05,2.7836000000000003e-05
numeric.py,1736,indices,109,109,0.0016065270000000002,0.002951361
fromnumeric.py,2255,sum,2390521,2390521,3.9779846880000003,18.624731509
numerictypes.py,288,issubclass_,1581032,1581032,1.284918462,2.3168945880000003
~,0,<method 'conj' of 'numpy.generic' objects>,399,399,0.0039034610000000004,0.0039034610000000004
~,0,<method '__array_wrap__' of 'numpy.ndarray' objects>,15,15,1.4035e-05,1.4035e-05
~,0,<method 'all' of 'numpy.ndarray' objects>,109,109,0.000461326,0.002536964
~,0,<method 'argmax' of 'numpy.ndarray' objects>,203,203,0.000930906,0.000930906
~,0,<method 'argpartition' of 'numpy.ndarray' objects>,15,15,0.015307183,0.015307183
~,0,<method 'argsort' of 'numpy.ndarray' objects>,1573473,1573473,3.7283713740000004,3.7283713740000004
~,0,<method 'astype' of 'numpy.ndarray' objects>,138,138,0.003225533,0.003225533
~,0,<method 'conj' of 'numpy.ndarray' objects>,1313,1313,0.0023173720000000003,0.0023173720000000003
~,0,<method 'copy' of 'numpy.ndarray' objects>,400015,400015,0.513232046,0.513232046
~,0,<method 'cumsum' of 'numpy.ndarray' objects>,1573428,1573428,6.161510323000001,6.161510323000001
~,0,<method 'diagonal' of 'numpy.ndarray' objects>,30,30,0.00015259800000000002,0.00015259800000000002
~,0,<method 'flatten' of 'numpy.ndarray' objects>,1573495,1573495,1.686327358,1.686327358
~,0,<method 'nonzero' of 'numpy.ndarray' objects>,31,31,0.000218569,0.000218569
~,0,<method 'ravel' of 'numpy.ndarray' objects>,15,15,3.0575000000000005e-05,3.0575000000000005e-05
~,0,<method 'reshape' of 'numpy.ndarray' objects>,905,905,0.004759803,0.005670713
~,0,<method 'searchsorted' of 'numpy.ndarray' objects>,5,5,0.00011608000000000001,0.00011608000000000001
~,0,<method 'sort' of 'numpy.ndarray' objects>,93,93,0.47203042500000003,0.47203042500000003
~,0,<method 'transpose' of 'numpy.ndarray' objects>,235,235,0.0005218660000000001,0.0005218660000000001
~,0,<method 'view' of 'numpy.ndarray' objects>,295,295,0.001954572,0.0033616410000000003
~,0,<built-in method numpy.array>,264,264,1.641788078,1.641788078
~,0,<built-in method numpy.asarray>,3725,3725,0.018365199000000002,0.018365199000000002
~,0,<built-in method numpy.asanyarray>,3147043,3147043,0.6250896770000001,0.6250896770000001
~,0,<built-in method numpy.ascontiguousarray>,1,1,0.004290167,0.004290167
~,0,<built-in method numpy.arange>,449,449,0.0033518830000000004,0.0033518830000000004
~,0,<built-in method numpy.zeros>,800612,800612,0.637599706,0.637599706
~,0,<built-in method numpy._core._multiarray_umath.count_nonzero>,790516,790516,0.360419339,0.360419339
~,0,<built-in method numpy.empty>,1573870,1573870,2.3890701350000003,2.3890701350000003
~,0,<built-in method numpy._core._multiarray_umath.c_einsum>,402,402,0.211359823,0.211359823
~,0,<built-in method numpy.promote_types>,46,46,1.0768000000000001e-05,1.0768000000000001e-05
~,0,<built-in method numpy.lib.array_utils.normalize_axis_index>,35,35,1.7446000000000002e-05,1.7446000000000002e-05
~,0,<built-in method numpy._core._multiarray_umath._make_extobj>,16,16,5.8420000000000006e-05,5.8420000000000006e-05
~,0,<method '__exit__' of 'numpy.nditer' objects>,218,218,0.000158882,0.000158882
~,0,<method 'reduce' of 'numpy.ufunc' objects>,3181241,3181241,11.814563168000001,11.814563168000001
~,0,<method 'outer' of 'numpy.ufunc' objects>,109,109,0.002592053,0.002592053
getlimits.py,699,min,218,218,0.000224312,0.000224312
multiarray.py,361,where,790534,790534,0.213852175,0.213852175
fromnumeric.py,1208,argmax,203,203,0.0015740530000000002,0.003394212
_methods.py,67,_all,109,109,0.000186409,0.0020756380000000003
numerictypes.py,470,issubdtype,790516,790516,1.819802917,4.277967061
fromnumeric.py,1639,diagonal,30,30,0.00016433000000000002,0.000368542
multiarray.py,161,concatenate,87,87,1.8743e-05,1.8743e-05
fromnumeric.py,2400,any,94,94,0.00034261700000000003,0.0019477670000000002
fromnumeric.py,3068,prod,790517,790517,1.2685590580000001,8.936791296
_ufunc_config.py,426,__exit__,15,15,2.5371e-05,6.454300000000001e-05
fromnumeric.py,828,argpartition,15,15,9.3299e-05,0.015542857
fromnumeric.py,1085,argsort,25,25,7.9502e-05,0.06362216
fromnumeric.py,1402,searchsorted,5,5,1.564e-05,0.00016909500000000002
fromnumeric.py,2609,cumsum,1573428,1573428,1.9210441390000002,10.280732975000001
multiarray.py,678,result_type,15,15,3.802e-06,3.802e-06
multiarray.py,750,dot,1313,1313,0.000675104,0.000675104
multiarray.py,1185,packbits,1,1,2.44e-07,2.44e-07
