filename,lineno,func,prim_calls,total_calls,tottime,cumtime
_decomp.py,284,eigh,36,36,0.0022187220000000002,0.004813236
addons.py,190,_convert,48,48,0.001020717,0.00177125
addons.py,60,restore,96,96,0.000460438,0.002579088
rdm.py,123,make_rdm12_spin1,6,6,0.001531351,0.0016722730000000002
selected_ci.py,175,cre_des_linkstr,48,48,0.000723359,0.0012297080000000001
rdm.py,91,make_rdm1_spin1,24,24,0.0005440950000000001,0.0010234270000000001
direct_spin1.py,178,absorb_h1e,6,6,0.000599232,0.0013259060000000002
cistring.py,113,_strs2occslst,12,12,0.000262632,0.00038617100000000004
direct_spin1.py,549,_get_init_guess,6,6,0.000271473,0.0006379140000000001
direct_spin1.py,847,__init__,6,6,2.3385e-05,2.3385e-05
selected_ci.py,194,des_des_linkstr,24,24,8.27e-06,8.27e-06
selected_ci.py,48,contract_2e,36,36,0.011294252000000001,0.022235764
selected_ci.py,289,make_hdiag,6,6,0.000443316,0.001111446
selected_ci.py,313,kernel_fixed_space,6,6,0.000284199,0.044689183
selected_ci.py,519,make_rdm2s,6,6,7.220800000000001e-05,0.002141652
bit_array.py,67,__init__,1,1,3.5874e-05,4.1054000000000004e-05
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.00022647400000000003,0.0027524890000000003
ipython-input-3795278461.py,92,work_fn,1,1,0.000167286,16.390456634
fermion.py,476,solve_sci,6,6,0.000402341,0.050088320000000006
fermion.py,66,__post_init__,6,6,2.6539e-05,3.2959e-05
subsampling.py,147,subsample,2,2,7.3766e-05,0.00010163900000000001
configuration_recovery.py,59,recover_configurations,1,1,0.281624223,15.851468435000001
fermion.py,149,diagonalize_fermionic_hamiltonian,1,1,0.002909585,16.390153124
configuration_recovery.py,181,_bipartite_bitstring_correcting,35465,35465,7.233086472,14.977790082
fermion.py,377,<lambda>,6,6,2.6020000000000002e-06,2.6020000000000002e-06
configuration_recovery.py,162,_p_flip_1_to_0,269453,269453,0.220083889,0.41663828900000005
<string>,2,__init__,6,6,5.1608000000000005e-05,8.4567e-05
fermion.py,428,_unique_with_order_preserved,7,7,2.4560000000000002e-05,0.000148739
configuration_recovery.py,131,_p_flip_0_to_1,709300,709300,0.421907342,0.421907342
counts.py,45,bit_array_to_arrays,1,1,0.000109184,0.010749092
counts.py,186,bitstring_matrix_to_integers,12,12,0.00035267100000000004,0.00036383300000000004
fermion.py,435,solve_sci_batch,2,2,6.2458e-05,0.050150778
bit_array.py,157,num_shots,1,1,2.38e-06,2.38e-06
bit_array.py,144,array,1,1,9.660000000000002e-07,9.660000000000002e-07
bit_array.py,37,_min_num_bytes,1,1,2.2e-06,2.2e-06
bit_array.py,149,num_bits,1,1,2.4270000000000002e-06,2.4270000000000002e-06
addons.py,822,_unpack_nelec,102,102,0.000109364,0.000156348
selected_ci.py,769,get_init_guess,6,6,4.2092e-05,0.0007139420000000001
selected_ci.py,903,_all_linkstr_index,6,6,2.0493000000000002e-05,0.000354046
addons.py,206,_stand_sym_code,96,96,0.00018127600000000002,0.000205806
direct_spin1.py,920,eig,6,6,0.000169891,0.040144358000000005
selected_ci.py,568,make_rdm2,6,6,0.000257314,0.0024089330000000003
selected_ci.py,346,hop,36,36,0.00030907300000000004,0.023194533
selected_ci.py,812,make_rdm1s,12,12,4.8316e-05,0.0018844450000000002
selected_ci.py,830,make_rdm2,6,6,2.5839e-05,0.00244703
selected_ci.py,758,contract_2e,36,36,0.000153062,0.022404628000000003
logger.py,142,debug,42,42,1.5367e-05,1.5367e-05
logger.py,146,debug1,12,12,5.234e-06,5.234e-06
logger.py,182,timer_debug1,36,36,7.7019e-05,0.00021439400000000002
logger.py,200,__init__,6,6,2.9866000000000002e-05,7.5488e-05
_sparse.py,10,issparse,36,36,3.9125e-05,0.000212465
