filename,lineno,func,prim_calls,total_calls,tottime,cumtime,molecule
direct_spin1.py,178,absorb_h1e,6,6,0.000599232,0.0013259060000000002,H2
cistring.py,113,_strs2occslst,12,12,0.000262632,0.00038617100000000004,H2
direct_spin1.py,549,_get_init_guess,6,6,0.000271473,0.0006379140000000001,H2
direct_spin1.py,847,__init__,6,6,2.3385e-05,2.3385e-05,H2
selected_ci.py,194,des_des_linkstr,24,24,8.27e-06,8.27e-06,H2
selected_ci.py,48,contract_2e,36,36,0.011294252000000001,0.022235764,H2
selected_ci.py,289,make_hdiag,6,6,0.000443316,0.001111446,H2
selected_ci.py,313,kernel_fixed_space,6,6,0.000284199,0.044689183,H2
selected_ci.py,519,make_rdm2s,6,6,7.220800000000001e-05,0.002141652,H2
bit_array.py,67,__init__,1,1,3.5874e-05,4.1054000000000004e-05,H2
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.00022647400000000003,0.0027524890000000003,H2
ipython-input-3795278461.py,92,work_fn,1,1,0.000167286,16.390456634,H2
fermion.py,476,solve_sci,6,6,0.000402341,0.050088320000000006,H2
fermion.py,66,__post_init__,6,6,2.6539e-05,3.2959e-05,H2
subsampling.py,147,subsample,2,2,7.3766e-05,0.00010163900000000001,H2
configuration_recovery.py,59,recover_configurations,1,1,0.281624223,15.851468435000001,H2
fermion.py,149,diagonalize_fermionic_hamiltonian,1,1,0.002909585,16.390153124,H2
configuration_recovery.py,181,_bipartite_bitstring_correcting,35465,35465,7.233086472,14.977790082,H2
fermion.py,377,<lambda>,6,6,2.6020000000000002e-06,2.6020000000000002e-06,H2
configuration_recovery.py,162,_p_flip_1_to_0,269453,269453,0.220083889,0.41663828900000005,H2
<string>,2,__init__,6,6,5.1608000000000005e-05,8.4567e-05,H2
fermion.py,428,_unique_with_order_preserved,7,7,2.4560000000000002e-05,0.000148739,H2
configuration_recovery.py,131,_p_flip_0_to_1,709300,709300,0.421907342,0.421907342,H2
counts.py,45,bit_array_to_arrays,1,1,0.000109184,0.010749092,H2
counts.py,186,bitstring_matrix_to_integers,12,12,0.00035267100000000004,0.00036383300000000004,H2
fermion.py,435,solve_sci_batch,2,2,6.2458e-05,0.050150778,H2
bit_array.py,157,num_shots,1,1,2.38e-06,2.38e-06,H2
bit_array.py,144,array,1,1,9.660000000000002e-07,9.660000000000002e-07,H2
bit_array.py,37,_min_num_bytes,1,1,2.2e-06,2.2e-06,H2
