filename,lineno,func,prim_calls,total_calls,tottime,cumtime
logger.py,200,__init__,15,15,4.3367e-05,0.000208593
_sparse.py,10,issparse,90,90,0.000181573,0.001380338
configuration_recovery.py,122,<genexpr>,21200000,21200000,5.181113885,5.181113885
__init__.py,96,_xla_gc_callback,1154,1154,0.002899871,0.002899871
direct_spin1.py,926,<lambda>,90,90,0.0008994890000000001,1605.024979472
selected_ci.py,926,_as_SCIvector,210,210,0.000533136,0.003148231
selected_ci.py,931,_as_SCIvector_if_not,45,45,4.6174e-05,9.538600000000001e-05
selected_ci.py,893,_unpack,165,165,0.0008498500000000001,0.001612907
selected_ci.py,484,make_rdm1s,30,30,0.000719456,0.573875208
selected_ci.py,189,cre_des_linkstr_tril,30,30,7.800500000000001e-05,0.057791671
selected_ci.py,230,des_des_linkstr_tril,30,30,0.000277965,0.47673820800000005
selected_ci.py,350,<lambda>,75,75,0.107549077,0.107549077
selected_ci.py,739,__init__,15,15,6.537200000000001e-05,0.000154413
selected_ci.py,818,make_rdm1,15,15,0.000535292,0.28123253400000003
selected_ci.py,914,__array_finalize__,405,405,0.001508669,0.0019197130000000002
_misc.py,181,_datacopied,90,90,4.6144000000000004e-05,4.6144000000000004e-05
lapack.py,1055,<genexpr>,270,270,0.0004928020000000001,0.0014493210000000002
logger.py,219,new_logger,15,15,0.000108307,0.000344565
blas.py,395,getter,90,90,0.000596356,0.0010729840000000001
lapack.py,1025,_compute_lwork,90,90,0.00242962,0.0043310430000000006
misc.py,677,check_sanity,15,15,0.00026498600000000004,0.000879181
core.py,6607,isMaskedArray,90,90,0.00012390100000000002,0.00016692
asyncio.py,200,_handle_events,2,2,7.472000000000001e-06,0.001999041
asyncio.py,210,call_at,1,1,8.926e-06,4.8664e-05
_twodim_base_impl.py,968,<genexpr>,270,270,0.003341323,0.010560058
_linalg.py,493,inv,15,15,0.0008959230000000001,0.001597431
_function_base_impl.py,343,iterable,180,180,0.00020446,0.000319048
_function_base_impl.py,245,_flip_dispatcher,4,4,1.024e-06,1.024e-06
_function_base_impl.py,1320,_diff_dispatcher,31,31,9.477000000000001e-06,9.477000000000001e-06
_arraysetops_impl.py,139,_unique_dispatcher,1557950,1557950,0.351068892,0.351068892
fromnumeric.py,1959,nonzero,31,31,3.6902e-05,0.000313802
fromnumeric.py,824,_argpartition_dispatcher,15,15,9.652e-06,9.652e-06
fromnumeric.py,1081,_argsort_dispatcher,25,25,8.509000000000001e-06,8.509000000000001e-06
fromnumeric.py,1204,_argmax_dispatcher,165,165,6.1122e-05,6.1122e-05
fromnumeric.py,1398,_searchsorted_dispatcher,5,5,3.921e-06,3.921e-06
fromnumeric.py,1635,_diagonal_dispatcher,30,30,1.2497e-05,1.2497e-05
fromnumeric.py,1955,_nonzero_dispatcher,31,31,6.581e-06,6.581e-06
fromnumeric.py,2250,_sum_dispatcher,2394625,2394625,0.49255815100000006,0.49255815100000006
fromnumeric.py,2395,_any_dispatcher,75,75,2.1225e-05,2.1225e-05
fromnumeric.py,2605,_cumsum_dispatcher,1557887,1557887,0.377153202,0.377153202
fromnumeric.py,3063,_prod_dispatcher,794621,794621,0.21739559,0.21739559
einsumfunc.py,1049,_einsum_dispatcher,1590,1590,0.001149587,0.001149587
_stride_tricks_impl.py,354,<genexpr>,540,540,0.0004902190000000001,0.000502943
_index_tricks_impl.py,778,__getitem__,4,4,2.5690000000000003e-06,2.5690000000000003e-06
_linalg.py,123,_makearray,15,15,8.42e-05,0.00011174600000000001
_internal.py,537,_view_is_safe,2,2,1.1459e-05,1.1459e-05
_type_check_impl.py,265,iscomplexobj,90,90,0.000260188,0.00031544600000000004
_type_check_impl.py,168,_is_type_dispatcher,90,90,2.6002000000000003e-05,2.6002000000000003e-05
_stride_tricks_impl.py,30,_maybe_view_as_subclass,180,180,0.000179939,0.000179939
_arraysetops_impl.py,327,reshape_uniq,1,1,1.1321e-05,6.5537e-05
_stride_tricks_impl.py,376,broadcast_to,180,180,0.000401307,0.007170801
_function_base_impl.py,584,asarray_chkfinite,90,90,0.003265514,0.005592218
_twodim_base_impl.py,34,_min_int,180,180,0.0005060560000000001,0.0010815220000000001
_stride_tricks_impl.py,372,_broadcast_to_dispatcher,180,180,4.7934000000000006e-05,4.7934000000000006e-05
_linalg.py,489,_unary_dispatcher,15,15,8.769e-06,8.769e-06
_arraysetops_impl.py,131,_unpack_tuple,1557950,1557950,0.766443835,1.202092571
_linalg.py,128,isComplexType,30,30,1.8346e-05,2.6852000000000003e-05
_linalg.py,142,_realType,15,15,2.7758e-05,4.4813000000000006e-05
_linalg.py,192,_assert_stacked_2d,15,15,3.9314000000000003e-05,3.9314000000000003e-05
_linalg.py,198,_assert_stacked_square,15,15,2.9039e-05,2.9039e-05
numeric.py,1736,indices,90,90,0.001338502,0.002601667
fromnumeric.py,2255,sum,2394625,2394625,3.9514540030000003,18.613377292000003
numerictypes.py,288,issubclass_,1589240,1589240,1.2732975050000002,2.293071265
~,0,<method 'conj' of 'numpy.generic' objects>,273,273,0.004513537000000001,0.004513537000000001
~,0,<method '__array_wrap__' of 'numpy.ndarray' objects>,15,15,1.5186000000000002e-05,1.5186000000000002e-05
~,0,<method 'all' of 'numpy.ndarray' objects>,90,90,0.00037075400000000005,0.0021843070000000003
~,0,<method 'argmax' of 'numpy.ndarray' objects>,165,165,0.000769853,0.000769853
~,0,<method 'argpartition' of 'numpy.ndarray' objects>,15,15,0.013483579,0.013483579
~,0,<method 'argsort' of 'numpy.ndarray' objects>,1557932,1557932,3.7593619670000002,3.7593619670000002
~,0,<method 'astype' of 'numpy.ndarray' objects>,119,119,0.003154193,0.003154193
~,0,<method 'conj' of 'numpy.ndarray' objects>,966,966,0.001723771,0.001723771
~,0,<method 'copy' of 'numpy.ndarray' objects>,400015,400015,0.527170173,0.527170173
~,0,<method 'cumsum' of 'numpy.ndarray' objects>,1557887,1557887,6.069830427,6.069830427
~,0,<method 'diagonal' of 'numpy.ndarray' objects>,30,30,0.00017694000000000002,0.00017694000000000002
~,0,<method 'flatten' of 'numpy.ndarray' objects>,1557954,1557954,1.6799428150000002,1.6799428150000002
~,0,<method 'nonzero' of 'numpy.ndarray' objects>,31,31,0.00020784400000000002,0.00020784400000000002
~,0,<method 'ravel' of 'numpy.ndarray' objects>,15,15,3.3627e-05,3.3627e-05
~,0,<method 'reshape' of 'numpy.ndarray' objects>,772,772,0.004972418,0.005743182
~,0,<method 'searchsorted' of 'numpy.ndarray' objects>,5,5,0.000108843,0.000108843
~,0,<method 'sort' of 'numpy.ndarray' objects>,93,93,0.476131952,0.476131952
~,0,<method 'transpose' of 'numpy.ndarray' objects>,197,197,0.000495086,0.000495086
~,0,<method 'view' of 'numpy.ndarray' objects>,257,257,0.0016406670000000002,0.002801075
~,0,<built-in method numpy.array>,226,226,1.5121872250000001,1.5121872250000001
~,0,<built-in method numpy.asarray>,2993,2993,0.03158022,0.03158022
~,0,<built-in method numpy.asanyarray>,3115961,3115961,0.6360183060000001,0.6360183060000001
~,0,<built-in method numpy.ascontiguousarray>,1,1,0.004733431000000001,0.004733431000000001
~,0,<built-in method numpy.arange>,373,373,0.004467284,0.004467284
~,0,<built-in method numpy.zeros>,800555,800555,0.802107876,0.802107876
~,0,<built-in method numpy._core._multiarray_umath.count_nonzero>,794620,794620,0.361236439,0.361236439
~,0,<built-in method numpy.empty>,1558310,1558310,2.3978294300000003,2.3978294300000003
~,0,<built-in method numpy._core._multiarray_umath.c_einsum>,345,345,0.18407546100000002,0.18407546100000002
~,0,<built-in method numpy.promote_types>,52,52,1.1581000000000001e-05,1.1581000000000001e-05
~,0,<built-in method numpy.lib.array_utils.normalize_axis_index>,35,35,1.7747e-05,1.7747e-05
~,0,<built-in method numpy._core._multiarray_umath._make_extobj>,16,16,6.051e-05,6.051e-05
~,0,<method '__exit__' of 'numpy.nditer' objects>,180,180,0.00015001,0.00015001
~,0,<method 'reduce' of 'numpy.ufunc' objects>,3189411,3189411,11.842410387000001,11.842410387000001
~,0,<method 'outer' of 'numpy.ufunc' objects>,90,90,0.002520356,0.002520356
getlimits.py,699,min,180,180,0.000192291,0.000192291
multiarray.py,361,where,794638,794638,0.202061406,0.202061406
fromnumeric.py,1208,argmax,165,165,0.001390958,0.002867582
_methods.py,67,_all,90,90,0.000183474,0.001813553
numerictypes.py,470,issubdtype,794620,794620,1.8127712480000002,4.248605027
fromnumeric.py,1639,diagonal,30,30,0.000153439,0.000396464
multiarray.py,161,concatenate,87,87,4.1481000000000005e-05,4.1481000000000005e-05
fromnumeric.py,2400,any,75,75,0.00030220000000000003,0.001605517
fromnumeric.py,3068,prod,794621,794621,1.290264227,8.921925439
_ufunc_config.py,426,__exit__,15,15,2.8221000000000003e-05,6.250900000000001e-05
fromnumeric.py,828,argpartition,15,15,0.000107311,0.013741488000000001
fromnumeric.py,1085,argsort,25,25,8.1742e-05,0.062393633000000004
fromnumeric.py,1402,searchsorted,5,5,1.8118000000000002e-05,0.00016442300000000002
fromnumeric.py,2609,cumsum,1557887,1557887,1.894730239,10.178657631
