caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
iostream.py,202,schedule,socket.py,632,send,1,4.3570000000000005e-05,4.3570000000000005e-05,0.000173928,0.000289432
iostream.py,221,_really_send,socket.py,709,send_multipart,1,2.2295000000000003e-05,0.000326922,2.2295000000000003e-05,0.000326922
zmqstream.py,615,_handle_recv,socket.py,780,recv_multipart,2,4.9340000000000005e-05,9.8576e-05,4.9340000000000005e-05,9.8576e-05
session.py,751,send,session.py,687,serialize,1,3.4519e-05,0.00019034000000000002,3.4519e-05,0.00019034000000000002
iostream.py,495,_flush,session.py,751,send,1,3.0656e-05,0.00038917700000000005,3.0656e-05,0.00038917700000000005
asyncio.py,200,_handle_events,zmqstream.py,574,_handle_events,2,3.3367e-05,0.0009596200000000001,3.3367e-05,0.0009596200000000001
encoder.py,205,iterencode,jsonutil.py,108,json_default,2,2.2197e-05,4.9011e-05,2.2197e-05,4.9011e-05
zmqstream.py,574,_handle_events,zmqstream.py,615,_handle_recv,2,2.7167000000000003e-05,0.0006041750000000001,2.7167000000000003e-05,0.0006041750000000001
ioloop.py,742,_run_callback,iostream.py,495,_flush,1,2.5589000000000002e-05,0.00047252700000000004,2.5589000000000002e-05,0.00047252700000000004
iostream.py,202,schedule,iostream.py,90,_event_pipe,1,3.6970000000000003e-06,3.6970000000000003e-06,3.6970000000000003e-06,3.6970000000000003e-06
~,0,<built-in method time.sleep>,numeric.py,460,count_nonzero,10,7.4090000000000006e-06,1.2839e-05,0.048572356000000004,0.083380143
configuration_recovery.py,181,_bipartite_bitstring_correcting,numeric.py,460,count_nonzero,65871,0.048564947000000004,0.083367304,0.048572356000000004,0.083380143
numeric.py,1437,moveaxis,numeric.py,1373,normalize_axis_tuple,4,3.8026000000000005e-05,4.5006e-05,3.8026000000000005e-05,4.5006e-05
socket.py,632,send,_internal.py,448,_promote_fields,1,8.0667e-05,9.991100000000001e-05,8.0667e-05,9.991100000000001e-05
fromnumeric.py,2255,sum,fromnumeric.py,69,_wrapreduction,207747,0.46161357100000006,1.383528895,0.707715285,2.1079923270000003
fromnumeric.py,3068,prod,fromnumeric.py,69,_wrapreduction,65882,0.24610171400000003,0.7244634320000001,0.707715285,2.1079923270000003
_arraysetops_impl.py,144,unique,numeric.py,1437,moveaxis,1,2.0663000000000002e-05,5.8424e-05,3.2771e-05,9.437100000000001e-05
_arraysetops_impl.py,327,reshape_uniq,numeric.py,1437,moveaxis,1,1.2108e-05,3.5947e-05,3.2771e-05,9.437100000000001e-05
_linalg.py,493,inv,_ufunc_config.py,410,__enter__,6,2.0969000000000002e-05,5.2331000000000004e-05,2.0969000000000002e-05,5.2331000000000004e-05
fermion.py,149,diagonalize_fermionic_hamiltonian,_ufunc_config.py,434,inner,1,5.2015e-05,5.7593e-05,5.2015e-05,5.7593e-05
~,0,<built-in method time.sleep>,getlimits.py,487,__new__,20,1.7011e-05,2.8604000000000003e-05,0.100482967,0.158753848
configuration_recovery.py,181,_bipartite_bitstring_correcting,getlimits.py,487,__new__,131742,0.10046595600000001,0.15872524400000002,0.100482967,0.158753848
linalg_helper.py,1432,_outprod_to_subspace,einsumfunc.py,1057,einsum,72,6.0735e-05,0.000528262,0.000133868,0.0015290210000000002
direct_spin1.py,178,absorb_h1e,einsumfunc.py,1057,einsum,6,8.792e-06,8.791200000000001e-05,0.000133868,0.0015290210000000002
selected_ci.py,48,contract_2e,einsumfunc.py,1057,einsum,36,4.2438e-05,0.000524984,0.000133868,0.0015290210000000002
selected_ci.py,289,make_hdiag,einsumfunc.py,1057,einsum,12,7.955000000000001e-06,2.7734000000000002e-05,0.000133868,0.0015290210000000002
fermion.py,476,solve_sci,einsumfunc.py,1057,einsum,12,1.3948000000000001e-05,0.00036012900000000005,0.000133868,0.0015290210000000002
numpy_helper.py,256,pack_tril,_internal.py,261,__init__,12,9.209000000000001e-06,9.209000000000001e-06,0.0010667,0.001078938
